"";"Variables";"Estimate";"Std. Error";"z value";"Pr(>|z|)"
"Plesp";"(Intercept)";"0.25847427920511";"0.225456423598336";"1.14644894600829";"0.25160944025962"
"Plesp";"JJulien_scaled";"0.529888425337205";"0.151556684244958";"3.49630521396706";"0.000471748772067273"
"Plesp";"I(JJulien_scaled^2)";"0.409414649623808";"0.137848141113749";"2.97004113596256";"0.00297759874010564"
"Plesp";"D_houppier_scaled";"0.417475522654381";"0.162096495890208";"2.57547530785087";"0.0100102420422424"
"Plesp";"N_vehi_nuit_1200_scaled";"-0.435489602696652";"0.170472312733594";"-2.55460605721479";"0.0106308038032577"
"Myodau";"(Intercept)";"-0.75642446111408";"0.410985924651453";"-1.84051184175123";"0.0656931273530142"
"Myodau";"JJulien_scaled";"1.16807769489885";"0.317658097950175";"3.67715384067454";"0.000235850812142685"
"Myodau";"I(JJulien_scaled^2)";"-0.577720522186275";"0.261290056329335";"-2.21103141199566";"0.0270336618968219"
"Myodau";"D_houppier_scaled";"-0.918773111231112";"0.291062683739887";"-3.15661595442509";"0.00159611412336439"
"Myoema";"(Intercept)";"-0.00254535473562115";"0.281221931384511";"-0.00905105346190416";"0.992778402784642"
"Myoema";"JJulien_scaled";"-0.299601878111478";"0.183743356802786";"-1.63054536133811";"0.102986286266811"
"Myoema";"I(JJulien_scaled^2)";"-0.43640129847691";"0.192621682664982";"-2.26558761422474";"0.0234766441317681"
"Eptser";"(Intercept)";"0.635573658199559";"0.479461406578703";"1.3255992025194";"0.184972490527265"
"Eptser";"JJulien_scaled";"-0.189592873169657";"0.295763333215633";"-0.641028998112589";"0.521503842823254"
"Eptser";"I(JJulien_scaled^2)";"-0.962390731206247";"0.297447588596635";"-3.23549683407027";"0.00121431232066366"
"Ferme";"(Intercept)";"3.0852276381658";"0.15892701049832";"19.4128589501054";"6.00887976812702e-84"
"Ferme";"JJulien_scaled";"0.194792353104315";"0.101816506168865";"1.91317066784089";"0.0557262072758349"
"Ferme";"I(JJulien_scaled^2)";"-0.290236108611269";"0.0981298989481022";"-2.95767255161208";"0.0030997120749794"
"Ferme";"N_vehi_nuit_1200_scaled";"-0.363332224606609";"0.136434895725199";"-2.66304469010931";"0.00774371289694522"
"Ouvert";"(Intercept)";"3.16524431542908";"0.192611423215184";"16.4333156496793";"1.10451087997396e-60"
"Ouvert";"JJulien_scaled";"0.299802510656947";"0.127769194820288";"2.34643813071397";"0.0189538126577313"
"Ouvert";"I(JJulien_scaled^2)";"-0.0515234193900064";"0.122702472054805";"-0.419905308566183";"0.674554629564344"
"Ouvert";"H_veg_scaled";"0.705823212358453";"0.147935779876161";"4.77114605370863";"1.83180648126568e-06"
"SemiOuvert";"(Intercept)";"5.56279206157099";"0.262503847178867";"21.1912782283171";"1.14934489772407e-99"
"SemiOuvert";"JJulien_scaled";"0.181852134691008";"0.0880555520448848";"2.06519782646201";"0.0389042861038626"
"SemiOuvert";"I(JJulien_scaled^2)";"-0.304664279581834";"0.0830377557219358";"-3.66898499282721";"0.000243515371812802"
"SemiOuvert";"PaysageF";"1.34926138489821";"0.340679891650484";"3.96049610783153";"7.47942121634572e-05"
"SemiOuvert";"PaysageFE";"1.01001310010984";"0.349079465100347";"2.89336154396677";"0.0038114229026634"
"SemiOuvert";"PaysageDPT";"0.620142652213487";"0.347750663709803";"1.78329681846702";"0.0745379990409111"
"SemiOuvert";"PaysageSPT";"0.531234078566784";"0.362061555010858";"1.46724796160933";"0.142308614141517"
"SemiOuvert";"PaysagePT";"1.7202515751402";"0.349635144406465";"4.9201334667328";"8.6485217056192e-07"
"SemiOuvert";"D_houppier_scaled";"-0.309916106805458";"0.11793467478901";"-2.62786247861295";"0.00859232442575866"
